日期,小时,模型充电量(度),订单充电量(度),差异(模型-订单)(度)
20260626,10:00,138.9214,116.3741,22.5473
20260626,11:00,287.4611,241.6735,45.7876
20260626,12:00,398.4551,312.8111,85.644
20260626,13:00,288.5578,254.5045,34.0533
20260626,14:00,191.305,142.8576,48.4474
20260626,15:00,217.4437,178.1677,39.276
20260626,16:00,135.1592,105.3215,29.8377
20260626,17:00,146.5159,108.7645,37.7514
20260626,18:00,126.1606,102.1169,24.0437
20260626,19:00,153.325,97.9485,55.3765
20260626,20:00,58.625,46.1339,12.4911
20260626,21:00,34.225,24.6609,9.5641
20260626,22:00,12.65,5.3381,7.3119
20260626,23:00,19.025,11.083,7.942
20260627,00:00,374.9917,332.1792,42.8125
20260627,01:00,105.8417,107.0072,-1.1655
20260627,02:00,34.2917,27.8597,6.432
20260627,03:00,51.5583,43.3691,8.1892
20260627,04:00,86.375,66.7038,19.6712
20260627,05:00,42.5942,37.991,4.6032
20260627,06:00,110.7002,92.6818,18.0184
20260627,07:00,215.2299,243.7961,-28.5662
20260627,08:00,163.7487,161.3426,2.4061
20260627,09:00,269.3286,239.3743,29.9543
20260627,10:00,188.4612,154.0136,34.4476
20260627,11:00,236.5364,187.241,49.2954
20260627,12:00,363.2096,272.1147,91.0949
20260627,13:00,289.5397,263.1453,26.3944
20260627,14:00,211.4883,179.891,31.5973
20260627,15:00,62.1136,50.0926,12.021
20260627,16:00,46.7892,34.351,12.4382
20260627,17:00,163.3292,125.4382,37.891
20260627,18:00,59.9074,43.0248,16.8826
20260627,19:00,127.5764,105.2205,22.3559
20260627,20:00,123.6,105.7936,17.8064
20260627,21:00,36.725,29.9492,6.7758
20260627,22:00,76.1333,58.9715,17.1618
20260627,23:00,70.125,80.9317,-10.8067
20260628,00:00,209.4917,188.3153,21.1764
20260628,01:00,48.7917,45.2824,3.5093
20260628,02:00,133.9417,111.8302,22.1115
20260628,03:00,88.4333,63.0998,25.3335
20260628,04:00,101.4417,97.712,3.7297
20260628,05:00,85.9102,75.1906,10.7196
20260628,06:00,241.0347,228.5704,12.4643
20260628,07:00,252.1422,258.9268,-6.7846
20260628,08:00,182.219,169.7478,12.4712
20260628,09:00,228.3776,181.2993,47.0783
20260628,10:00,158.768,133.6759,25.0921
20260628,11:00,160.4818,129.5596,30.9222
20260628,12:00,382.2303,306.7177,75.5126
20260628,13:00,236.7699,214.9162,21.8537
20260628,14:00,119.1947,101.683,17.5117
20260628,15:00,96.3507,90.9743,5.3764
20260628,16:00,128.1662,108.6911,19.4751
20260628,17:00,142.8388,123.2615,19.5773
20260628,18:00,144.4447,113.2208,31.2239
20260628,19:00,260.6104,215.2276,45.3828
20260628,20:00,124.525,116.6021,7.9229
20260628,21:00,70.85,59.8203,11.0297
20260628,22:00,157.625,139.3099,18.3151
20260628,23:00,38.4,16.242,22.158
20260629,00:00,307.2,270.6566,36.5434
20260629,01:00,181.375,163.6298,17.7452
20260629,02:00,132.4083,109.6555,22.7528
20260629,03:00,144.9917,127.2398,17.7519
20260629,04:00,20.825,23.6468,-2.8218
20260629,05:00,31.0467,23.8755,7.1712
20260629,06:00,191.9907,166.7287,25.262
20260629,07:00,204.2082,222.3526,-18.1444
20260629,08:00,148.5695,127.9042,20.6653
20260629,09:00,171.079,155.9112,15.1678
20260629,10:00,236.0718,200.3828,35.689
20260629,11:00,196.2868,148.3737,47.9131
20260629,12:00,433.7559,346.9394,86.8165
20260629,13:00,238.8869,207.3312,31.5557
20260629,14:00,176.6227,144.2488,32.3739
20260629,15:00,100.1308,89.7847,10.3461
20260629,16:00,138.1637,114.0664,24.0973
20260629,17:00,95.686,66.0409,29.6451
20260629,18:00,56.4876,44.6204,11.8672
20260629,19:00,116.9807,91.7157,25.265
20260629,20:00,69.075,65.7479,3.3271
20260629,21:00,70.5,49.3565,21.1435
20260629,22:00,17.875,13.5489,4.3261
20260629,23:00,30.25,19.4338,10.8162
20260630,00:00,265.325,239.5045,25.8205
20260630,01:00,73.8417,69.3899,4.4518
20260630,02:00,140.725,115.2829,25.4421
20260630,03:00,67.7083,65.6756,2.0327
20260630,04:00,46.45,38.0201,8.4299
20260630,05:00,42.7943,29.3907,13.4036
20260630,06:00,205.7167,176.3575,29.3592
20260630,07:00,236.7509,250.6873,-13.9364
20260630,08:00,194.0742,182.8907,11.1835
20260630,09:00,198.2992,181.5208,16.7784
20260630,10:00,187.3977,140.0724,47.3253
20260630,11:00,278.3339,229.401,48.9329
20260630,12:00,327.1072,257.7133,69.3939
20260630,13:00,259.8716,221.2508,38.6208
20260630,14:00,133.303,110.6099,22.6931
20260630,15:00,162.6301,145.3409,17.2892
20260630,16:00,52.0101,45.5752,6.4349
20260630,17:00,103.9236,76.7767,27.1469
20260630,18:00,130.3308,117.8755,12.4553
20260630,19:00,195.4012,162.6479,32.7533
20260630,20:00,33.3667,19.5619,13.8048
20260630,21:00,51.775,38.1956,13.5794
20260630,22:00,63.375,48.1774,15.1976
20260630,23:00,48.4,32.4656,15.9344
20260701,00:00,0.0,82.4204,-82.4204
