日期,小时,总站总负载(度),订单充电量(度),拟合工厂用电(度),拟合工厂平均功率(kW)
20260605,19:00,71.0983,54.9345,18.7726,18.7726
20260605,20:00,27.85,17.4727,12.9146,12.9146
20260605,21:00,71.4,53.9557,23.691,23.691
20260605,22:00,92.9,80.6517,19.1464,19.1464
20260605,23:00,83.625,72.459,21.6155,21.6155
20260606,00:00,279.4,256.0311,38.5533,38.5533
20260606,01:00,100.7583,71.5736,32.5814,32.5814
20260606,02:00,97.8167,92.1907,16.717,16.717
20260606,03:00,144.2667,117.3806,36.0292,36.0292
20260606,04:00,84.4833,86.4835,9.2094,9.2094
20260606,05:00,103.1082,86.8874,19.7396,19.7396
20260606,06:00,102.4756,91.3634,18.4228,18.4228
20260606,07:00,267.0644,233.0107,41.748,41.748
20260606,08:00,218.517,173.651,45.6178,45.6178
20260606,09:00,271.9009,197.1738,74.7271,74.7271
20260606,10:00,194.9697,118.1017,76.868,76.868
20260606,11:00,275.0532,192.6763,82.3769,82.3769
20260606,12:00,359.6701,299.2617,65.5656,65.5656
20260606,13:00,310.3642,223.7146,86.6496,86.6496
20260606,14:00,114.5647,55.4656,59.099,59.099
20260606,15:00,236.1884,158.5228,77.6656,77.6656
20260606,16:00,183.5968,136.7524,49.836,49.836
20260606,17:00,230.1048,162.4957,67.7158,67.7158
20260606,18:00,110.9292,89.2614,28.2194,28.2194
20260606,19:00,98.925,82.4614,18.6639,18.6639
20260606,20:00,90.45,74.9114,19.002,19.002
20260606,21:00,125.25,113.7742,25.2947,25.2947
20260606,22:00,37.9,20.3715,18.1161,18.1161
20260606,23:00,61.0667,49.0295,19.3163,19.3163
20260607,00:00,215.0,201.2061,28.1795,28.1795
20260607,01:00,133.2167,80.2469,57.018,57.018
20260607,02:00,120.15,100.4444,23.4095,23.4095
20260607,03:00,81.8,74.0365,19.871,19.871
20260607,04:00,85.5583,79.2814,15.199,15.199
20260607,05:00,54.3032,44.9128,13.5566,13.5566
20260607,06:00,141.6356,127.5788,17.5593,17.5593
20260607,07:00,298.8218,252.453,48.9048,48.9048
20260607,08:00,302.2578,235.1122,71.1849,71.1849
20260607,09:00,248.2455,187.5251,60.7204,60.7204
20260607,10:00,215.0667,140.6859,74.3807,74.3807
20260607,11:00,246.3128,176.1385,70.1743,70.1743
20260607,12:00,307.6915,231.6218,77.967,77.967
20260607,13:00,177.5408,102.0652,75.4756,75.4756
20260607,14:00,102.4692,34.2706,68.1986,68.1986
20260607,15:00,98.5465,38.1207,60.4258,60.4258
20260607,16:00,113.1061,49.635,63.4711,63.4711
20260607,17:00,186.1632,133.3939,52.7693,52.7693
20260607,18:00,62.0419,43.8334,18.2085,18.2085
20260607,19:00,112.6285,90.9902,27.9301,27.9301
20260607,20:00,102.075,78.7476,25.0201,25.0201
20260607,21:00,67.4,56.7364,14.2698,14.2698
20260607,22:00,37.55,32.3682,13.7875,13.7875
20260607,23:00,50.425,24.3221,26.9668,26.9668
